Name,Keyword,Snippet,Category
FM TextEncode,;fmtextenc,TextEncode ( text ; encoding ; lineEndings ),Container
FM VerifyContainer,;fmverifycontainer,VerifyContainer (  ),Container
FM DayNameJ,;fmdaynamej,DayNameJ (  ),Japanese
FM Furigana,;fmfurigana,Furigana (  ),Japanese
FM Hiragana,;fmhiragana,Hiragana (  ),Japanese
FM KanaHankaku,;fmkanahankaku,KanaHankaku (  ),Japanese
FM KanaZenkaku,;fmkanazenkaku,KanaZenkaku (  ),Japanese
FM KanjiNumeral,;fmkanjinumeral,KanjiNumeral (  ),Japanese
FM Katakana,;fmkatakana,Katakana (  ),Japanese
FM MonthNameJ,;fmmonthnamej,MonthNameJ (  ),Japanese
FM NumToJText,;fmnumtojtext,NumToJText (  ),Japanese
FM RomanHankaku,;fmromanhankaku,RomanHankaku (  ),Japanese
FM RomanZenkaku,;fmromanzenkaku,RomanZenkaku (  ),Japanese
FM YearName,;fmyearname,YearName (  ),Japanese
FM JSONDeleteElement,;fmjsondeleteelement,JSONDeleteElement (  ),JSON
FM JSONFormatElements,;fmjsonformatelements,JSONFormatElements (  ),JSON
FM JSONGetElement,;fmjsongetelement,JSONGetElement (  ),JSON
FM JSONGetElementType,;fmjsongetelementtype,JSONGetElementType (  ),JSON
FM JSONListKeys,;fmjsonlistkeys,JSONListKeys (  ),JSON
FM JSONListValues,;fmjsonlistvalues,JSONListValues (  ),JSON
FM JSONMakeArray,;fmjsonmakearray,JSONMakeArray (  ),JSON
FM JSONParse,;fmjsonparse,JSONParse (  ),JSON
FM JSONParsedState,;fmjsonparsedstate,JSONParsedState (  ),JSON
FM JSONSetElement,;fmjsonsetelement,JSONSetElement (  ),JSON
FM Average,;fmavg,Average ( field {; field...} ),Aggregate
FM Count,;fmcount,Count ( field {; field...} ),Aggregate
FM List,;fmlist,List ( value1 ; value2 ; value3 ),Aggregate
FM Max,;fmmax,Max ( number1 ; number2 ; number3 ),Aggregate
FM Min,;fmmin,Min ( number1 ; number2 ; number3 ),Aggregate
FM StDev,;fmstdev,StDev (  ),Aggregate
FM StDevP,;fmstdevp,StDevP (  ),Aggregate
FM Sum,;fmsum,Sum ( field {; field...} ),Aggregate
FM Variance,;fmvariance,Variance (  ),Aggregate
FM VarianceP,;fmvariancep,VarianceP (  ),Aggregate
FM Extend,;fmextend,Extend (  ),Repeating
FM GetRepetition,;fmgetrepetition,GetRepetition (  ),Repeating
FM Last,;fmlast,Last (  ),Repeating
FM FV,;fmfv,FV (  ),Financial
FM NPV,;fmnpv,NPV (  ),Financial
FM PMT,;fmpmt,PMT (  ),Financial
FM PV,;fmpv,PV (  ),Financial
FM Acos,;fmacos,Acos (  ),Trigonometric
FM Asin,;fmasin,Asin (  ),Trigonometric
FM Atan,;fmatan,Atan (  ),Trigonometric
FM Cos,;fmcos,Cos (  ),Trigonometric
FM Degrees,;fmdegrees,Degrees (  ),Trigonometric
FM Pi,;fmpi,Pi,Trigonometric
FM Radians,;fmradians,Radians (  ),Trigonometric
FM Sin,;fmsin,Sin (  ),Trigonometric
FM Tan,;fmtan,Tan (  ),Trigonometric
FM Case,;fmcase,"Case (
    test1 ; result1 ;
    test2 ; result2 ;
    defaultResult
)",Logical
FM Choose,;fmchoose,Choose ( test ; result0 ; result1 ; result2 ),Logical
FM Evaluate,;fmeval,Evaluate ( expression ),Logical
FM EvaluationError,;fmevaluationerror,EvaluationError (  ),Logical
FM ExecuteSQL,;fmsql,"ExecuteSQL ( ""SELECT field FROM table WHERE id = ?"" ; """" ; """" ; id )",Logical
FM ExecuteSQLe,;fmsqle,"ExecuteSQLe ( ""SELECT field FROM table WHERE id = ?"" ; """" ; """" ; id )",Logical
FM GetAsBoolean,;fmgetasboolean,GetAsBoolean (  ),Logical
FM GetField,;fmgetfield,GetField ( fieldName ),Logical
